id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,start-position,end-position,r
1099556,ENSG00000169427,30786,KCNK9,"potassium channel, subfamily K, member 9",51305,8,n/a,n/a,1
279784688,ENSG00000225177,0,RP11-390P2.4,RP11-390P2.4,0,6,n/a,n/a,0.948
1089612,ENSG00000102924,865,CBLN1,cerebellin 1 precursor,869,16,n/a,n/a,0.901
1094317,ENSG00000137074,34129,APTX,aprataxin,54840,9,n/a,n/a,0.901
1095506,ENSG00000144550,81016,CPNE9,copine family member IX,151835,3,n/a,n/a,0.895
1087638,ENSG00000056736,34829,IL17RB,interleukin 17 receptor B,55540,3,n/a,n/a,0.892
280024227,ENSG00000250288,0,AC138207.1,AC138207.1,0,17,n/a,n/a,0.888
1088554,ENSG00000085998,34913,POMGNT1,"protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase",55624,1,n/a,n/a,0.885
279794484,ENSG00000226009,1021095,RP11-190J1.10,RP11-190J1.10,100289509,10,n/a,n/a,0.88
279978811,ENSG00000243758,0,RP11-535A15.1,RP11-535A15.1,0,5,n/a,n/a,0.874
280077006,ENSG00000254862,0,RP11-159H22.2,RP11-159H22.2,0,11,n/a,n/a,0.873
279774117,ENSG00000224238,0,WARS2-IT1,WARS2 intronic transcript 1 (non-protein coding),0,1,n/a,n/a,0.865
1107705,ENSG00000230561,171002,CTC-228N24.1,CTC-228N24.1,728586,5,n/a,n/a,0.865
1095810,ENSG00000146809,80267,ASB15,ankyrin repeat and SOCS box containing 15,142685,7,n/a,n/a,0.862
1100632,ENSG00000174255,7591,ZNF80,zinc finger protein 80,7634,3,n/a,n/a,0.86
1098659,ENSG00000165887,26035,ANKRD2,ankyrin repeat domain 2 (stretch responsive muscle),26287,10,n/a,n/a,0.854
1107536,ENSG00000229377,0,AC016757.1,Protein FAM132B,0,2,n/a,n/a,0.853
279825073,ENSG00000228737,0,AC008781.7,AC008781.7,0,5,n/a,n/a,0.852
1090416,ENSG00000108387,5382,4-Sep,septin 4,5414,17,n/a,n/a,0.852
1094284,ENSG00000136895,58463,GARNL3,GTPase activating Rap/RanGAP domain-like 3,84253,9,n/a,n/a,0.85
279874845,ENSG00000233165,0,RP11-96C23.8,RP11-96C23.8,0,10,n/a,n/a,0.848
280085757,ENSG00000255398,8766,HCAR3,hydroxycarboxylic acid receptor 3,8843,12,n/a,n/a,0.846
1089442,ENSG00000101638,29640,ST8SIA5,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5",29906,18,n/a,n/a,0.846
1092564,ENSG00000125462,10338,C1orf61,chromosome 1 open reading frame 61,10485,1,n/a,n/a,0.845
1108486,ENSG00000235711,123953,ANKRD34C,ankyrin repeat domain 34C,390616,15,n/a,n/a,0.841
1093872,ENSG00000134809,26267,TIMM10,translocase of inner mitochondrial membrane 10 homolog (yeast),26519,11,n/a,n/a,0.84
1101457,ENSG00000178752,0,FAM132B,"family with sequence similarity 132, member B",0,2,n/a,n/a,0.837
1094630,ENSG00000138675,2235,FGF5,fibroblast growth factor 5,2250,4,n/a,n/a,0.837
279396420,ENSG00000168992,0,AC009237.9,AC009237.9,0,2,n/a,n/a,0.837
280136578,ENSG00000259655,0,CTD-2054N24.1,CTD-2054N24.1,0,15,n/a,n/a,0.836
280038219,ENSG00000251396,157121039,RP11-163N6.2,RP11-163N6.2,100505532,8,n/a,n/a,0.835
279789178,ENSG00000225554,0,RP11-527D7.1,RP11-527D7.1,0,1,n/a,n/a,0.834
1087753,ENSG00000064300,4773,NGFR,nerve growth factor receptor,4804,17,n/a,n/a,0.834
1094051,ENSG00000135740,6517,SLC9A5,"solute carrier family 9 (sodium/hydrogen exchanger), member 5",6553,16,n/a,n/a,0.831
1101288,ENSG00000177699,1014768,RP11-16K12.1,RP11-16K12.1,100129540,15,n/a,n/a,0.829
279566916,ENSG00000186842,0,C21orf77,chromosome 21 open reading frame 77,0,21,n/a,n/a,0.829
